127.0.0.1 - - [03/Dec/2021:12:59:07 -0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:59:09 -0800] "GET /project_3/ HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:59:09 -0800] "GET /project_3/img/bg.png HTTP/1.1" 200 99939
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:59:09 -0800] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:59:34 -0800] "GET /project_3/ HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:59:35 -0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [03/Dec/2021:12:59:56 -0800] "GET /project_3/WelcomeCtl HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:03 -0800] "GET /project_3/LoginCtl HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:17 -0800] "POST /project_3/LoginCtl HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:26 -0800] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:26 -0800] "GET /project_3/WelcomeCtl HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:37 -0800] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 14511
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:38 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:38 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:41 -0800] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 16805
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:45 -0800] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 14511
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:45 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:00:45 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:12 -0800] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 14669
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:12 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:12 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:36 -0800] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 14836
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:36 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:37 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:40 -0800] "POST /project_3/ctl/StudentCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:40 -0800] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 14511
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:40 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:40 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:43 -0800] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 16805
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:01:46 -0800] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 12717
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:02:00 -0800] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 17081
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:02:03 -0800] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 12189
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:02:06 -0800] "GET /project_3/ctl/StudentCtl?id=11 HTTP/1.1" 200 14567
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:02:06 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:02:06 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:02:14 -0800] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 14776
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:02:14 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
